,release_year,rating
817,2015,PG-13
818,1996,PG-13
819,1976,PG
820,2021,TV-14
821,2018,R
822,2019,R
823,2019,TV-MA
824,2018,R
825,2020,TV-MA
826,2021,TV-MA
827,2021,TV-14
828,2016,PG-13
829,2021,TV-Y7
830,2021,TV-MA
831,2021,TV-MA
832,2021,TV-14
833,2021,TV-MA
834,2021,TV-PG
835,2021,TV-PG
836,2021,TV-MA
837,2021,TV-MA
838,2021,TV-MA
839,2018,TV-MA
840,2021,TV-MA
841,2021,TV-MA
842,2021,TV-14
843,2016,TV-MA
844,2021,TV-MA
845,2014,TV-14
846,2015,PG
847,2021,TV-MA
848,2021,TV-MA
849,2020,TV-G
850,2021,TV-14
851,2021,TV-14
852,2021,TV-14
853,2021,R
854,2021,TV-MA
855,2021,TV-Y7
856,2020,TV-MA
857,2021,TV-MA
858,2009,TV-14
859,2011,TV-14
860,2020,TV-MA
861,2021,TV-Y7
862,2021,TV-MA
863,2011,PG
864,2006,TV-14
865,2014,R
866,2017,R
867,1998,PG-13
868,1997,TV-Y
869,2021,TV-MA
870,2021,TV-14
871,2021,TV-14
872,2016,R
873,2021,TV-MA
874,2021,TV-Y
875,2020,TV-MA
876,2021,TV-MA
877,2021,TV-MA
878,2021,TV-MA
879,2021,TV-MA
880,2021,TV-MA
881,2021,TV-MA
882,2021,TV-Y7
883,2021,TV-MA
884,2021,TV-MA
885,2018,TV-MA
886,2020,TV-14
887,2020,TV-MA
888,2021,TV-14
889,2021,R
890,2021,TV-MA
891,2004,R
892,2018,TV-MA
893,2020,TV-14
894,2021,TV-MA
895,2021,TV-14
896,2021,TV-14
897,2021,TV-14
898,2020,TV-14
899,2020,TV-MA
900,2021,TV-14
901,2019,TV-PG
902,2021,TV-14
903,2021,TV-MA
904,2017,R
905,2021,TV-14
906,1999,TV-MA
907,2020,TV-MA
908,2021,TV-MA
909,2021,TV-14
910,2021,TV-MA
911,2017,TV-Y7
912,2021,TV-14
913,2020,TV-PG
914,2017,TV-MA
915,2020,TV-MA
916,2013,R
917,2019,TV-MA
918,2021,TV-PG
919,2021,TV-MA
920,2020,TV-PG
921,2018,TV-MA
922,2018,TV-MA
923,2021,TV-Y
924,2020,PG
925,2010,TV-Y
926,2006,R
927,2010,TV-Y
928,1989,PG-13
929,2017,R
930,2010,R
931,2005,PG-13
932,2010,R
933,2009,G
934,2018,R
935,2012,PG
936,2020,TV-Y7
937,2017,TV-Y7
938,2019,TV-Y7
939,2013,TV-Y7
940,2014,TV-Y7
941,2013,TV-Y7
942,2003,R
943,2008,PG-13
944,2018,TV-MA
945,2020,TV-MA
946,1994,PG-13
947,2009,PG-13
948,2018,TV-14
949,2011,PG-13
950,2009,PG-13
951,2002,R
952,2000,R
953,2016,R
954,2018,TV-PG
955,1992,R
956,2008,R
957,2021,TV-PG
958,2019,TV-14
959,2021,TV-MA
