Director,Appearances
Rik Reinholdtsen,1
Gauravv K Chawla,1
Bent-Jorgen Perlmutt,1
Hugo Stuven,1
Greg Pritikin,1
Kobun Shizuno,3
 Hiroyuki Seshita,3
Kunal Kohli,1
Noor Imran Mithu,1
Nonzee Nimibutr,1
Ísold Uggadóttir,1
Lorena Munoz,1
Genevieve Nnaji,1
Terry Gilliam,4
 Terry Jones,1
Yanyong Kuruaungkoul,1
Lenin Bharathi,1
Ranjit Jeyakodi,1
Ram,1
John Fortenberry,3
Chris Bould,2
Kevin Booth,1
 David Johndrow,1
Paul M. Green,1
Julio Fernández Talamantes,1
Walter C. Miller,3
Noriyuki Abe,3
Ellen Brown,1
Matt Askem,6
Rob Zombie,1
Álvaro Brechner,1
Rakesh Mehta,1
Eduardo Chauvet,2
Gonzalo Bendala,1
Noam Murro,2
Kheiron,1
Susanne Bier,1
Irek Dobrowolski,1
Gilbert Chan,1
Rarecho,1
Steve Cheng,1
Sam Loh,1
Jason Lai,1
Samit Kakkad,1
 Tig Notaro,1
Prasobh Vijayan,1
Sriram Raghavan,2
Elaine Bogan,1
 John Sanford,1
Michael Cuesta,2
David Cronenberg,1
Thom Zimny,1
James Marsh,1
Sean Olson,1
Sigrid Andrea Bernardo,1
Guillermo de Oliveira,1
Manoj Beedha,1
Alfonso Cuarón,3
John Hoffman,1
 Nanfu Wang,1
Marco Risi,1
Anne Fletcher,1
Marek Losey,1
Andy Serkis,1
Mat King,1
Bert Marcus,2
Ahsan Rahim,1
Andrew Lau Wai-Keung,3
Cheang Pou Soi,1
Enrique García Meza,1
Katarina Launing,1
Johnnie To,8
Lawrence Cheng,1
Prakash Balwant Saini,1
Nam Ron,1
Baljit Singh Deo,2
Leung Lok Man,1
 Luk Kim-ching,1
Jazz Boon,1
Felix Chong,1
Dhanush,1
Gary Mak,1
Liu Jiang,1
Joseduardo Giordano,1
 Sergio Goyri Jr.,1
Alice Rohrwacher,1
Nandita Das,1
Romain Gavras,1
Sebastián Hofmann,1
Denny Lu,1
 Mike Myhre,1
Clay Kaytis,1
Fernando Colomo,1
Robert Vince,6
Raditya Dika,2
David Paul Meyer,2
Daniel Goldhaber,1
Fred Cavayé,1
Joel Coen,1
 Ethan Coen,1
V C Abhilash,1
Nila Madhab Panda,3
Timo Tjahjanto,3
Nakul Singh Sawhney,1
Nishanth Ravindaran,1
 Jathin Sanker Raj,1
Swapna Waghmare Joshi,1
Erik Matti,1
Christopher Guest,2
Vincent Kok,1
Christian Zübert,1
David Mackenzie,3
Tejas Prabha Vijay Deoskar,1
Matheus Souza,1
Sara Dosa,1
Bradley Walsh,1
Orson Welles,1
Morgan Neville,3
Indrajit Nattoji,1
Raj Kumar Gupta,3
Remo D'Souza,3
Arnab Chaudhuri,1
Rana Ranbir,1
Priyadarshan,6
 Kookie V. Gulati,1
Vivek Agnihotri,1
Habib Faisal,1
Bobby Roth,1
Halder Gomes,1
Amitoj Mann,3
B. Unnikrishnan,1
Madhur Bhandarkar,5
Sajid Khan,1
Saji Surendran,1
Ksshitij Chaudhary,2
Sundar C.,2
Gary Binkow,1
Nikhil Advani,2
Navinder Pal Singh,1
Kunal Deshmukh,1
R. Kannan,1
Gaurav Narayanan,1
Kevin Layne,2
Jennifer M. Kroot,1
Akin Omotoso,1
Dani de la Torre,1
Tinge Krishnan,1
Aleksey German,1
Sergio Barrejón,1
Sandi Tan,1
Vijay Yelakanti,1
S.S. Rajamouli,7
Joanna Lombardi,1
 Bruno Ascenzo,1
Kim Jee-woon,1
Rajesh Touchriver,1
David Lam,1
Thiru,2
Tom Forrest,1
Anik Datta,1
Shaad Ali,1
Gareth Evans,2
Paul Urkijo Alijo,1
Johanna Demetrakas,1
Padraic McKinley,1
Rizal Mantovani,2
Rusty Cundieff,1
 Darin Scott,1
Kabir Bhatia,1
Chris Eigeman,1
Olaf de Fleur,1
Tamara Jenkins,1
Kavi Raz,1
Nick Simon,1
Eric Idle,2
 Aubrey Powell,1
Anthony Giordano,2
Will Yapp,2
Terry Hughes,1
 Ian MacNaughton,1
Roger Graef,1
 James Rogan,1
Terry Jones,1
Ian MacNaughton,1
Albert Sharpe,1
Simranjit Singh Hundal,1
N. Linguswamy,2
Deep Joshi,1
Manjeet Maan,1
Shagufta Rafique,1
Tinu Pappachan,1
Amarpreet G S Chabbra,1
Paresh Mokashi,1
Rohit Jugraj,4
Atharv Baluja,1
Vishal Bhardwaj,5
Puneet Sira,1
Aziz Mirza,3
Sameer Sharma,1
Chandan Arora,1
Rajan Madhav,1
Raaghav Dar,1
Ishi Rudell,4
David Lee Miller,1
Amit Saxena,1
Jaivi Dhanda,1
Suman Ghosh,1
Kabir Khan,1
Akshay Akkineni,1
Nidhi Sharma,1
Mastan Alibhai Burmawalla,1
 Abbas Alibhai Burmawalla,1
Vipin Parashar,1
Vikram Pradhan,1
Vijay,1
Sartaj Singh Pannu,1
Ayaan Mukherji,1
Sidharth Malhotra,1
Saket Behl,1
Anjum Shahzad,1
Ken Kwapis,1
Monique Gardenberg,1
Han Yan,1
Jeremy Saulnier,4
Kim A. Snyder,2
Álvaro Longoria,1
 Gerardo Olivares,1
Anthony Byrne,1
Rashida Jones,1
 Alan Hicks,1
Ariel Vromen,1
Nicole Holofcener,1
Alessio Cremonini,1
Joram Lürsen,2
Madeleine Gavin,1
Kevin R. Adams,1
 Joe Ksander,1
Ian Samuels,1
Franck Ribière,1
Peter Ho,1
Qaushiq Mukherjee,3
Onir,3
Jatla Siddartha,1
Kanwal Sethi,1
Samuel Jouy,1
Shivam Nair,2
Jordan Brady,1
Todd Biermann,1
Patrick Graham,1
Mike Clattenburg,5
Han Qing,1
Atlee Kumar,1
Ravi Udyawar,1
R. Balki,1
Shree Narayan Singh,1
Manuel Martín Cuenca,1
Susan Johnson,2
Y. Joon Chung,1
Rucha Humnabadkar,1
Mike Newell,4
Jake Szymanski,1
Abhishek Varman,1
Sabir Khan,1
Nikhil Nagesh Bhat,1
Xiaoxing Yi,1
 Yoshitaka Takeuchi,1
 Haoling Li,1
Lauren Miller Rogen,1
 Nitesh Tiwari,1
Khalid Mohamed,1
Sanjay Leela Bhansali,1
Prem Soni,1
Prabhu Deva,1
Mandeep Kumar,1
Jesse Handsher,1
 Olivier Roland,1
Pablo Giorgelli,1
Ted Emery,2
Tony Datis,1
Raúl Campos,18
 Jan Suter,18
Ben Young,1
Kirby Dick,1
Chris Jenkins,1
Diego Cohen,1
Lee Eung-bok,1
Jody Hill,1
Samu Fuentes,1
Alexandre Espigares,1
Scott L. Montoya,2
Sam Voutas,1
Raj Kaushal,1
 Christopher Storer,2
K.C. Bokadia,1
Samir Soni,1
Juan Antonio de la Riva,1
 Cyrus Saidi,1
Shlok Sharma,2
Yayo Herrero,1
Matt Palmer,1
Rodrigo Triana,1
Elaine McMillion Sheldon,2
Federico D'Alessandro,1
Seiji Mizushima,1
Myriam Aziza,1
Gerard Barrett,1
Rene Liu,1
 Jon Olb,1
Oded Raz,1
Mariana Tschudi,1
 Héctor Gálvez,1
Ramón Salazar,1
Eduardo Mendoza de Echave,1
Craig Johnson,1
Jeffrey Walker,2
Shadab Khan,1
Nattawut Poonpiriya,1
Felix Starck,1
Norberto López Amado,1
Alex Richanbach,1
Tig Notaro,1
Brit McAdams,1
Mercedes Cordova,1
Hayao Miyazaki,1
Anthony Abrams,1
 Adam Larson Broder,1
Trey Borzillieri,1
 Barbara Schroeder,1
Bobcat Goldthwait,3
Dani Levy,1
Sonny Mallhi,1
Andrew Niccol,2
Isabelle Nanty,1
Rob Epstein,1
 Jeffrey Friedman,1
Antonio Morabito,1
Rene Bueno,1
John Woo,1
Patricia Ferreira,1
Jimmy Henderson,1
Devashish Makhija,1
Amal Neerad,1
Fluvio Iannuci,1
 Roly Santos,1
Julius R. Nasso,1
Lucas Figueroa,1
Alfonso Rodríguez,1
Guillermo Garcia,1
 David Cantolla,1
Dito Montiel,1
Vicente Villanueva,1
Amit Roy,1
Teddy Lussi-Modeste,1
Dawn Porter,1
Ben Shelton,1
Curro Velázquez,1
Robert Smigel,1
Max Amini,1
Jason Sussberg,1
 David Alvarado,1
Célia Catunda,1
 Kiko Mistrorigo,1
 Rodrigo Eba,1
Sang-ho Yeon,2
Andy Fickman,2
Olivia Milch,1
David Sington,2
 Heather Walsh,1
Pedro Coutinho,1
Joshua Marston,1
Eleonore Pourriat,1
Peter Webber,1
Peter Orton,2
Marja Lewis Ryan,1
Ryan Koo,1
Hatem Khraiche,1
Derek Peck,1
Jennifer Morrison,1
Hèctor Hernández Vicens,1
Kader Aoun,1
Abhay Chopra,1
Diego Lerman,1
Farah Khan,4
Ananda Krishnan,1
Amol Palekar,1
Joe Miale,1
Olivia Newman,1
Jared Stern,1
Lennart Ruff,1
Dan Lucchesi,1
Mijke de Jong,1
Daryl Hannah,1
Michael Larnell,1
Advait Chandan,1
Brandon Camp,1
Alison Klayman,2
Yoo Byung-jae,1
Sunao Katabuchi,1
Johan Brisinger,1
Maria Sadowska,1
Yang Woo-seok,1
John L. Spencer,1
Victor Cook,1
Kazuya Murata,1
Martin Zandvliet,1
Uraaz Bahl,1
 Rick Benattar,1
Ben Wallis,2
Robin Aubert,1
Mitch Gould,1
Lars Büchel,1
Amit Barot,1
Carlo Padial,1
Mike Smith,3
Milind Dhaimade,1
Hong-seon Kim,1
Duncan Jones,2
Hang-Jun Jang,1
Fumihiko Sori,1
Mariano Baez,1
Stephanie Laing,1
Anand Tiwari,1
Roberta Grossman,1
 Sophie Sartain,1
David Bruckner,1
Tamta Gabrichidze,1
Ari Sandel,2
Julius Onah,1
Ildiko Enyedi,1
You-Jeong Chang,1
Dan Forrer,2
Selima Taibi,1
Marty Callner,1
Javier Ambrossi,1
 Javier Calvo,1
David Wain,1
Isaac Florentine,1
Scott Moran,2
Santiago Diaz,1
 Pablo Martin Farina,1
Charles Stone III,3
Matt Angel,1
 Suzanne Coote,1
Chris Baugh,1
Latif Faiziyev,3
 Umesh Mehra,3
Rajiv Mehra,5
Rhiannon Bannenberg,1
David Mrnka,1
Maya Forbes,1
Choi Jin-seong,1
Milind Rau,1
Craig Elrod,1
Jose Manuel Colón,2
Yasuhiro Irie,1
Alethea Jones,1
Jay Baruchel,1
Ludovic Bernard,1
Noël Wells,1
Patrick Brice,2
Daniel Kontur,2
Diego Kaplan,1
Marco Deufemia,1
 Justin G. Dyck,1
Lydia Tenaglia,1
Varun Narvekar,1
Seth Henrikson,1
Benson Lee,1
Umesh Mehra,5
Drew Heriot,1
Joel Crawford,1
Michael Barrett,1
Evan Spiridellis,1
 Jeff Gill,1
Leopoldo Aguilar,1
Nana Ekvtimishvili,1
 Simon Gross,1
Olivier Jean-Marie,1
Myles Kane,1
 Josh Koury,1
Shreyas Talpade,1
Jon Alpert,1
Ibai Abad,1
 Jim Gable,1
Josh Wakely,1
Jacob Kornbluth,2
Alain Desrochers,1
Go Koga,1
Christian Charles,1
Bronwen Hughes,1
John Ridley,1
Pali Yahya,1
Alo Sarkar,1
Iñaki Dorronsoro,1
Ali Bin Matar,1
 Ibrahim Bin Mohamed,1
Ali Samadi Ahadi,1
D Ho,1
Judah Friedlander,1
Errol Morris,2
Alex Israel,1
Griffin Dunne,1
Katherine Dieckmann,1
Heidi Ewing,2
 Rachel Grady,2
Jeremy Rush,1
Reem Kherici,1
Ranjit Tiwari,1
David Stubbs,1
Shakti Samanta,2
Mahmoud al Massad,1
Yesim Ustaoglu,1
Jan Suter,3
Lucy Cohen,1
Mahmoud Sabbagh,1
Borja Cobeaga,1
David France,1
Brandon Jones,1
Geun-hyun Cho,1
Carlos Therón,1
Francesco Carrozzini,1
Karen J. Lloyd,2
Vibeke Idsøe,1
Carlos Algara,1
 Alejandro Martinez-Beltran,1
Jacob LaMendola,1
Ritesh Batra,1
Dylan Howitt,1
Nabil Ayouch,1
Louis J. Horvitz,1
Warren P. Sonoda,2
Álex de la Iglesia,2
Chris Moukarbel,1
Ana Lily Amirpour,1
Michael Bonfiglio,1
Yance Ford,1
Fernando Lebrija,1
Rodrigo Toro,1
 Francisco Schultz,1
José Miguel Contreras,1
Toshiyuki Kubooka,3
Todd S. Yellin,1
Mohammed Hussain,1
Eli Craig,2
Shammi Kapoor,1
Florian Schnell,1
Josh Izenberg,1
 Wynn Padula,1
 Mariano Cohn,1
Gary Wang,1
Raz Degan,1
Israel Adrián Caetano,3
Mariano Cohn,1
 Gastón Duprat,1
Sarah Adina Smith,1
Cate Shortland,1
Adam Wingard,1
Daniel Lindsay,2
 T.J. Martin,2
Tommy Wirkola,1
Jean-Claude La Marre,1
Jorge Hernandez Aldana,1
Will Canon,1
Rob Silvestri,1
Matthias Hoene,1
Bryan Fogel,1
Fabrice Du Welz,1
John Butler,1
Ali Scher,1
Maz Jobrani,1
Isaac Rentz,1
Christopher Murray,1
Claude Lelouch,1
Vanessa Roth,1
Jim Strouse,1
Kasper Collin,1
Fazila Allana,1
Eric Abrams,1
Agustí Villaronga,1
Harry Chaskin,1
Marti Noxon,1
Stefan Brogren,1
Pat Healy,1
Nicolas Brossette,1
Serdar Akar,1
Lekh Tandon,3
Doesjka van Hoogdalem,1
Sushil Majumdar,1
Geetu Mohandas,1
Paulo Oriol,1
Oskar Santos,1
Bill D'Elia,2
Brian Knappenberger,1
Brent Bonacorso,1
Nitesh Tiwari,1
Roy Burdine,1
 Johnny Castuciano,1
Jay Bulger,1
Kip Andersen,2
 Keegan Kuhn,2
Iginio Straffi,2
Arun Chidambaram,1
Caio Cobra,1
Cal Seville,2
Michael John Warren,1
Chang-Min Lee,1
Oren Uziel,1
Manika Sharma,1
 Kimo Stamboel,1
Jun-seong Kim,1
Edward Cotterill,4
Onur Tukel,1
Jayaprakash Radhakrishnan,1
Rob Meyer,1
Anita Barbosa,1
Ketan Mehta,3
Daniel Wilner,1
Alberto Rodríguez,1
Joe Piscatella,1
Rahul Dholakia,1
Jean-Patrick Benes,1
Hiroyuki Seshita,1
Lygia Barbosa da Silva,1
 Eliane Brum,1
Kundan Shah,4
So Yong Kim,1
Alina Teodorescu,1
Filip Renc,1
Dylan Bank,1
 Daniel DiMauro,1
 Morgan Pehme,1
Sean Foley,1
Pierre Coré,1
Liz Plonka,1
Jeff Garlin,1
 Raúl Campos,1
Michael Barnett,1
Jessica Yu,1
K. Rajagopal,1
Praveen Nischol,1
Lucien Jean-Baptiste,1
Sean Cisterna,2
Sudhanshu Saria,1
Dilip Mehta,1
Isaki Lacuesta,1
 Isa Campo,1
Kitty Green,1
Evan Katz,1
Gauri Shinde,1
Oliver Schmitz,1
Felix Herngren,1
 Måns Herngren,1
Jill Bauer,2
 Ronna Gradus,2
 Rashida Jones,1
Fernando Coimbra,1
Adam Leon,1
Andrea Molaioli,1
Marie Madinier,1
Miguel Ángel Lamata,1
Steven Brill,2
Antonio Serrano,2
Grant S. Johnson,1
 Ippsie Jones,1
Joe Swanberg,1
Louis C.K.,3
Alexandre Reinecke,1
Jamal Hill,1
K. Ramanlal,1
Maris Curran,1
Avinash Arun,1
Jason Spingarn-Koff,1
A. Salaam,1
Eduardo Casanova,1
Daniel Burman,1
Kike Maíllo,1
Laurent Bouzereau,1
Gordon Anderson,1
Charlie McDowell,2
Meghan O'Hara,1
Tommy O'Haver,1
Lonny Price,1
Sydney Freeland,1
Jung-woo Park,1
James Ivory,1
Santosh Sivan,2
Erik Canuel,2
Peter Middleton,1
 James Spinney,1
Shashilal K. Nair,1
Marcel Barrena,1
Gerard McMurray,1
Selvamani Selvaraj,1
 Mike Birbiglia,1
Lô Politi,1
Tomas Portella,1
Macon Blair,1
Keith Scholey,1
Juan Pablo Buscarini,1
Thomas Stuber,1
 Scot McFadyen,1
Raúl Arévalo,1
Matías Bize,1
Michael Paul Stephenson,1
Colin Dench,1
Ricky Gervais,3
Joachim Fest,1
 Christian Herrendoerfer,1
Malik Vitthal,1
Joaquín Mazón,1
Jonás Trueba,1
Peter DeLuise,1
Alejandra Márquez Abella,1
Sébastien Betbeder,1
Adam Randall,1
Marco Dutra,1
Mario Rouleau,1
Aniruddha Roy Chowdhury,1
Chester Tam,1
Hannes Stöhr,1
Andreas Prochaska,1
Maximilian Erlenwein,1
Burhan Qurbani,1
Hubert Woroniecki,1
Alistair Legrand,2
Mir-Jean Bou Chaaya,1
Jeannie Gaffigan,1
Babak Anvari,1
Emily Hagins,1
Greg Richardson,1
Uwe Boll,1
Mitch Schauer,2
Rohit Mittal,1
Steve Hickner,1
Diego Luna,1
Jorge Michel Grau,1
Riki Lindhome,1
 Jeremy Konner,1
Vikram Gandhi,1
Sean Hanish,1
Sinan Akkuş,1
Matt Bell,1
James Hawes,1
Elite Zexer,1
James Yukich,2
Nic Mathieu,1
Chris Kelly,1
Roman Gackowski,1
Benjamin Dickinson,1
Sacha Wolff,1
Adam Nimoy,1
Elizabeth Wood,1
Robert McCullough Jr.,1
Shrihari Sathe,1
Ralph Macchio,1
Ricardo Maldonado,1
Vetrimaaran,1
Linas Phillips,1
Jeff Margolis,1
Bauddhayan Mukherji,1
María Jose Cuevas,1
Chris Sparling,1
 Raúl Campos Delgado,1
 Michelle Caputo,1
Houda Benyamina,1
Volker Weicker,1
Manjeet Singh,1
Lorene Machado,1
 Richard Ladkani,1
Richard Mears,1
Moto Sakakibara,1
Emilio Martínez Lázaro,1
Osgood Perkins,2
Werner Herzog,4
Julien Rambaldi,1
Yvan Attal,1
Benjamin Weill,1
Roger Gual,1
Thomas Sorriaux,1
Clovis Cornillac,1
Jonathan Demme,3
Dave Higby,2
Richie Smyth,1
Riccardo Pilizzeri,1
Guilherme Fontes,1
Aamir Bashir,1
David Schalko,1
Pieter Kuijpers,1
Prashant Nair,1
Paul Taublieb,1
 Jon Freeman,1
Riccardo Milani,1
Rod Blackhurst,2
 Brian McGinn,1
Tony Elliott,1
Dan Krauss,1
Christopher Louie,1
Justin Krook,1
Michael Drumm,2
Alex Coletti,1
John Smithson,1
Christopher Martin,1
Tom Whitter,1
Sian Heder,1
Karl Mueller,1
Allan Ungar,1
Hemant Gaba,1
 Pratim D. Gupta,1
 Sudhish Kamath,1
 Nalan Kumarasamy,1
 Anu Menon,1
 Sandeep Mohan,1
 Qaushiq Mukherjee,1
 Rajshree Ojha,1
 Raja Sen,1
 Abhinav Shiv Tiwari,1
 Suparn Verma,1
Rob Burnett,1
Jon Greenhalgh,1
Felix Van Groeningen,1
 Felix van Groeningen,1
Rodolphe Guenoden,1
Jason Krawczyk,1
Sam Wrench,1
Sophie Robinson,1
 Lotje Sodderland,1
John Lee,1
Yuen Wo-Ping,1
Alik Sakharov,1
L. Frazier,1
Frank Coraci,3
Gary Howsam,1
Kristin Hanggi,1
J. Davis,1
Chris Buck,2
 Jennifer Lee,1
 Patrick Osborne,1
 Lauren MacMullan,1
 John Kahrs,1
 Nathan Greno,1
 Byron Howard,1
 Stevie Wermers,1
 Dean Wellins,1
 Kevin Deters,1
 Roger Allers,1
 Mike Gabriel,1
 Mark Henn,1
Andrew Bujalski,1
Adam Dubin,1
Cary Joji Fukunaga,1
Aaron Hann,1
 Mario Miscione,1
Evgeny Afineevsky,1
Kristina Goolsby,1
 Ashley York,1
Phil Joanou,1
Anthony Pierce,1
Jennifer Phang,1
Mike Fleiss,1
Aziz Ansari,1
David Sampliner,1
Katy Chevigny,1
 Ross Kauffman,1
Wyatt Cenac,1
Luis Lopez,2
 Clay Tweel,1
Robert Nixon,1
 Fisher Stevens,1
Greg Whiteley,1
Jehane Noujaim,1
Jason Moore,1
Josh Greenbaum,1
Will Lovelace,1
 Dylan Southern,1
Constance Marks,1
Larry Elikann,1
Robert Markowitz,1
Eric Laneuville,1
Joel Oliansky,1
Roy Campanella II,1
Arthur Allan Seidelman,1
John Herzfeld,1
Buzz Kulik,1
Richard Michaels,1
Linda Otto,1
Roger Young,1
Rob LaDuca,1
 Robert C. Ramirez,1
Icíar Bollaín,1
Joe Dante,2
Ole Bornedal,1
Sorin Dan Mihalcescu,1
Shane Acker,1
Kevin Reynolds,1
Shravan Kumar,1
Vijay Milton,1
Santwana Bardoloi,1
Atanu Ghosh,2
Lyric R. Cabral,1
 David Felix Sutcliffe,1
Michael Margolis,1
Michael Kennedy,1
Óskar Thór Axelsson,1
Karyn Kusama,2
Adam Deyoe,1
Leif Tilden,1
Melinda Janko,1
Sam Upton,1
Victor Zarcoff,1
Daniel Stamm,2
Daniel Lee,1
Scott Hussion,1
 Seth Fuller,1
Richard Donner,1
Burr Steers,1
David Marmor,1
Raymond Wood,1
Hasraf Dulull,1
Mike Mills,1
Jon Lucas,2
 Scott Moore,2
Joey Curtis,1
Brian Smrz,1
Nicanor Loreti,1
Simon Napier-Bell,1
Betty Thomas,1
Gaby Dellal,1
Iman Brotoseno,1
Shazia Javed,1
Hani Hamdi,2
Ruben Fleischer,2
Maciej Dejczer,1
Jack C. Newell,2
Andrew Nackman,1
Anggy Umbara,1
Victor Levin,1
Jonathan Levine,2
Toa Fraser,2
Bharat Jain,1
Trent Haaga,1
Nizar Shafi,1
Meenu Gaur,1
 Farjad Nabi,1
Padmakumar Narasimhamurthy,1
Richard Attenborough,1
Stanley Kubrick,2
Stephen Gyllenhaal,1
Tom Fassaert,1
Mark Williams,1
Roman Coppola,1
Erik Nelson,1
Teo Konuralp,1
Jim Fall,1
Andy Goddard,1
Chris Bell,2
Christopher S. Rech,1
 Brandon Kimber,1
Michael Lennox,1
Kees Van Oostrum,1
Henry Sarwer-Foner,1
Ishaan Trivedi,1
Asghar Farhadi,2
Maria Burton,1
Natalie Portman,1
Martin Lawrence,1
Adam Shankman,3
Gregory Caruso,2
Rusty Nixon,1
Oliver Daly,1
Midhun Manuel Thomas,1
Chandrakant Kulkarni,3
Uttung Shelar,1
 Seung-uk Jo,1
Chad Van De Keere,2
 Paul Weitz,1
Daniela Goggi,1
Alfonso Serrano Maturino,1
Julien Christian Lutz,1
Julie Taymor,1
Mike McCoy,1
 Scott Waugh,1
Brett Donowho,1
Thierry Donard,5
Anne Fontaine,1
Sandeep Chatterjee,1
Kyle Rideout,1
Bryce Wagoner,1
Brittany Andrews,1
Nicolás López,2
Terry Loane,1
Biswajeet Bora,1
Castille Landon,1
Gervasio Iglesias,1
 Alexis Morante,1
J. Michael Long,1
Susan Glatzer,1
Eva Vives,1
Don Bluth,2
 Gary Goldman,1
 Dan Kuenster,1
Víctor García,1
Charlie Vaughn,1
Chris Blake,1
Matthew Hope,1
Vincent Perez,1
Lee Tamahori,4
Richard Rich,2
Greg Kohs,1
Trey Haley,1
Atul Malhotra,1
Manmohan Desai,1
Khaled Youssef,1
Charlie Siskel,1
Sam Mendes,2
Brendon Marotta,1
Barak Goodman,3
Sharon Grimberg,1
Mark Zwonitzer,1
Wilson Coneybeare,1
Sarik Andreasyan,1
Tony Kaye,1
Andrea Arnold,1
Nick Davis,1
Jerry G. Angelo,1
Asif Kapadia,2
Karan Bali,1
Phil Nibbelink,1
 Simon Wells,1
Larry Latham,2
Perry Lang,1
Ismail Farouk,3
Avinash Das,1
Carlos Marques-Marcet,1
Tim Blake Nelson,1
Luis Mandoki,1
Pan Nalin,1
Sohail Tatari,1
Paul Serafini,1
Juan Zapata,1
Sherif Ismail,1
Anirban Majumder,2
Ken Barbet,1
Manish Jha,2
David Salzberg,1
 Christian Tureaud,1
J.F. Musial,1
 Josh Vietze,1
Christian Desmares,1
 Franck Ekinci,1
Christopher Chambers,1
Khaled El Halafawy,2
Nia Dinata,2
Jason Winer,1
Sarah Smith,1
James L. Brooks,1
John Murlowski,1
Sung-soo Kim,1
Mike Nicoll,1
Jason Stone,1
Mez Tharatorn,2
David Morris,1
 Jacqui Morris,1
Fabrizio Copano,1
 Augusto Matte,1
Mike Rossiter,1
Gabe Ibáñez,1
Anthony Russo,1
 Joe Russo,1
Levan Tsikurishvili,1
Ajay Bahl,1
Çagan Irmak,1
Alejandro G. Iñárritu,1
Shikha Makan,1
José Eduardo Belmonte,1
Adam MacDonald,1
Dave Patten,1
Michael Petroni,1
David Chirchirillo,1
Salima Koroma,1
Sumitra Bhave,3
 Sunil Sukthankar,3
Justin Lee,1
Simon Wells,2
Phil Weinstein,2
Haissam Hussain,1
Zoe Lister-Jones,1
Aaron Nee,1
 Adam Nee,1
Tanit Jitnukul,1
Manop Janjarasskul,1
Adisorn Tresirikasem,1
Jordi Llompart,1
Raja Menon,1
Matthew Salleh,1
Adam Wood,1
Zeke Norton,1
Andrew Tan,2
 Michael Goguen,2
William Lau,5
Ezekiel Norton,2
 Ezekiel Norton,1
Kyle Newman,1
Esteban Vidal,2
Dava Whisenant,1
Hrishikesh Mukherjee,4
Sagar Sarhadi,1
Lilibet Foster,1
Joshua Caldwell,1
Volker Arzt,1
 Angelika Sigl,1
Mel Smith,1
Mike Judge,1
Bruce W. Smith,1
Agasyah Karim,1
 Khalid Kashogi,1
Julian Jarrold,1
Fisher Stevens,1
Keiko Yagi,1
Katherine Fairfax Wright,1
Rajeev Chaudhari,1
Anthony Wonke,1
April Mullen,1
Adam Marino,1
Joe Camp,3
Tamer Bassiouni,1
Ted Braun,1
Dharmesh Darshan,2
Sushrut Jain,1
Majid Majidi,1
Jasbir Bijendra Bhati,1
Joey Kern,1
Scott Martin,1
Kaspar Astrup Schröder,1
Nick Broomfield,2
Stephen Daldry,2
Vonda Harrell,1
 Daniel Camenisch,1
Indrasis Acharya,1
Gajendra Ahire,3
 Viju Mane,1
 Girish Mohite,1
 Ravi Jadhav,1
Emanuel Hoss-Desmarais,1
Marianna Palka,1
Ham Tran,1
Miguel Conde,1
Supavitra Babul,1
Mark Harris,1
Jesse Gustafson,1
Martin Hodara,1
Gabriela Cowperthwaite,1
Daniel Alfredson,2
Ethan Hawke,1
Ben Younger,1
Deane Taylor,1
July Hygreck,1
Jean-François Richet,1
Ted Demme,2
Abdellatif Kechiche,1
Woody Allen,1
Lev L. Spiro,1
Derek Cianfrance,2
Jeremy Kenyon Lockyer Corbell,2
Jay Surridge,1
Elvira Lind,1
Raj Kapoor,3
Gabriel Clarke,1
 Torquil Jones,1
Brendan Byrne,1
Geoffrey Orthwein,1
 Andrew Sullivan,1
Byron Howard,1
 Chris Williams,1
Alexandra Dean,1
Jelle de Jonge,1
Arthur Penn,1
Kaizad Gustad,1
Gary Cohen,1
 Ross Hockrow,1
Gayane Petrosyan,1
Richard Sears,1
Alê Abreu,1
Chris Stokes,4
Michael Doneger,1
Cecilia Peck,1
Jody Lambert,1
Simon Baker,1
Rian Johnson,2
Robert Adetuyi,1
Lu Yang,1
Vivieno Caldinelli,3
Mike Wiluan,1
Andreas Johnsen,1
David McCracken,1
Steve Antin,1
Jon Manning,1
Lee Chang-dong,1
Cary Murnion,1
 Jonathan Milott,1
Daniel Mann,2
Daniele Thompson,1
Travis Zariwny,1
Néstor Sánchez Sotelo,1
Asim Abbasi,1
Carlos Bolado,1
Scott Marshall Smith,1
Lisa Arnold,1
Peter Sattler,1
Harry Elfont,1
 Deborah Kaplan,1
Bernard Rose,1
Justin Pemberton,1
Noushad,1
Mark O'Connor,1
Chito S. Roño,2
Todd Haynes,1
Brian De Palma,2
Matt Piedmont,1
Wong Jing,5
Richard Brooks,1
Aaron Hancox,1
 Michael McNamara,1
Henrik Martin Dahlsbakken,1
Shivendra Singh Dungarpur,1
Nicholas Hytner,1
Harry Baweja,1
Aatmaram Dharne,1
Umer Adil,1
Arne Birkenstock,1
Dianne Dreyer,1
Garin Nugroho,1
John Curran,1
Charles A. Nichols,1
 Iwao Takamoto,1
 Jason Kwan,1
John Scheinfeld,1
Gurvinder Singh,1
 Asit Mohapatra,2
Asit Mohapatra,1
Shyamal Chaulia,1
 Binayak Das,1
Anuranjan Premji,1
Mark Dindal,1
Tom Holland,1
Tan Bing,1
Bedabrata Pain,1
Ken Hughes,1
