Director,Genre(s)
 Robert Stevenson,"['Drama, Family, Historical']"
Wilfred Jackson,"['Documentary, Family, Historical', 'Documentary, Family', 'Action-Adventure, Animation, Family', 'Animation, Family, Fantasy', 'Animation, Family, Music', 'Animation, Comedy, Family', 'Animation, Family, Kids', 'Animation, Family, Musical', 'Animation, Family, Sports']"
 William Beaudine,"['Documentary, Family']"
Theodore Thomas,"['Documentary, Historical', 'Biographical, Documentary']"
Kenny Scott,['Documentary']
Chris Columbus,"['Comedy, Drama', 'Action-Adventure, Comedy, Coming of Age', 'Comedy, Family', 'Action-Adventure, Family, Fantasy']"
Charles Nichols,"['Animation, Family', 'Animation, Comedy, Family']"
James Neilson,"['Crime, Drama, Mystery', 'Action-Adventure, Comedy, Family']"
Wes Anderson,"['Action-Adventure, Animation, Comedy', 'Animation, Comedy, Crime']"
Gene Kelly,"['Comedy, Musical, Romance']"
Steven Hunter,"['Animation, Family, Fantasy']"
Jeffrey Sherman,"['Biographical, Documentary, Music']"
 Gregory Sherman,"['Biographical, Documentary, Music']"
Joachim Rønning,"['Action-Adventure, Fantasy', 'Action-Adventure, Family, Fantasy']"
J.J. Abrams,"['Action-Adventure, Family, Science Fiction', 'Action-Adventure, Science Fiction']"
Andrew Stanton,"['Action-Adventure, Family, Fantasy', 'Action-Adventure, Animation, Comedy', 'Action-Adventure, Animation, Family']"
Oz Scott,"['Action-Adventure, Family, Fantasy', 'Comedy, Fantasy', 'Coming of Age, Drama, Music']"
Sam Weisman,"['Comedy, Drama, Family', 'Action-Adventure, Comedy, Family']"
David Ellis,"['Action-Adventure, Animals & Nature, Family']"
Duwayne Dunham,"['Action-Adventure, Animals & Nature, Family', 'Biographical, Sports', 'Action-Adventure, Comedy, Coming of Age', 'Coming of Age, Fantasy', 'Animals & Nature, Coming of Age, Family', 'Buddy, Family, Sports', 'Drama, Family']"
Jack Kinney,"['Animation, Family, Sports', 'Animation, Family, Parody', 'Animation, Comedy, Family', 'Action-Adventure, Animation, Comedy', 'Animation, Anthology, Family', 'Action-Adventure, Animation, Anthology', 'Animation, Family, Musical']"
James Algar,"['Animals & Nature, Documentary, Family', 'Animals & Nature, Documentary', 'Animation, Family, Fantasy', 'Action-Adventure, Animation, Anthology']"
James Algar,"['Animals & Nature, Documentary, Family', 'Animals & Nature, Documentary', 'Animation, Family, Fantasy', 'Action-Adventure, Animation, Anthology']"
James Algar,"['Animals & Nature, Documentary, Family', 'Animals & Nature, Documentary', 'Animation, Family, Fantasy', 'Action-Adventure, Animation, Anthology']"
Rob Reiner,"['Action-Adventure, Comedy, Family']"
Ben Sharpsteen,"['Animals & Nature, Documentary, Family', 'Animation, Comedy, Family', 'Animation, Family, Fantasy']"
Jon Turteltaub,"['Action-Adventure, Fantasy', 'Comedy, Drama, Romance', 'Action-Adventure, Mystery, Thriller', 'Biographical, Comedy, Family', 'Comedy, Drama, Family']"
Liliana Olszewski,"['Animals & Nature, Documentary']"
James Algar,"['Animals & Nature, Documentary, Family', 'Animals & Nature, Documentary', 'Animation, Family, Fantasy', 'Action-Adventure, Animation, Anthology']"
Elizabeth Leiter,"['Biographical, Documentary']"
 Kimberly Woodard,"['Biographical, Documentary']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
Charles Nichols,"['Animation, Family', 'Animation, Comedy, Family']"
Ron de Moraes,"['Concert Film, Music, Musical']"
David Silverman,"['Animation, Comedy', 'Animation, Comedy, Fantasy', 'Animation, Comedy, Parody', 'Action-Adventure, Animation, Comedy']"
Jack Speirs,"['Animals & Nature, Family']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
Alastair Fothergill,"['Animals & Nature, Documentary, Family']"
 Jeff Wilson,"['Animals & Nature, Documentary, Family']"
Keith Scholey,"['Animals & Nature, Documentary, Family']"
Keith Scholey,"['Animals & Nature, Documentary, Family']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
Jack King,"['Animation, Family', 'Animation, Comedy, Family']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
Mark Linfield,"['Animals & Nature, Documentary, Family']"
Wilfred Jaxon,"['Animation, Family']"
Jack Kinney,"['Animation, Family, Sports', 'Animation, Family, Parody', 'Animation, Comedy, Family', 'Action-Adventure, Animation, Comedy', 'Animation, Anthology, Family', 'Action-Adventure, Animation, Anthology', 'Animation, Family, Musical']"
Vanessa Berlowitz,"['Animals & Nature, Documentary, Family']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
Ben Sharpsteen,"['Animals & Nature, Documentary, Family', 'Animation, Comedy, Family', 'Animation, Family, Fantasy']"
Dan Scanlon,"['Action-Adventure, Animation, Comedy', 'Animation, Buddy, Comedy']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
Alastair Fothergill,"['Animals & Nature, Documentary, Family']"
 Jeff Wilson,"['Animals & Nature, Documentary, Family']"
Milt Schaffer,"['Animation, Family']"
Dick Lundy,"['Animation, Family', 'Animation, Comedy, Family']"
Gary Nelson,"['Action-Adventure, Animals & Nature, Drama', 'Action-Adventure, Science Fiction, Thriller']"
