type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
Movie,Minor Premise,,,2021-09-29,2020,96 min,"Science Fiction, Thriller",2
Movie,Year of Extremes,,,2021-09-29,2021,,News,1
TV Show,9-1-1,,,2021-09-28,2018,5 Seasons,Drama,1
Movie,Felix and the Hidden Treasure,,,2021-09-28,2021,84 min,"Adventure, Comedy, Kids",3
TV Show,Wild Crime,,,2021-09-28,2021,1 Season,Documentaries,1
TV Show,Bob's Burgers,,,2021-09-27,2011,12 Seasons,"Adult Animation, Comedy, Sitcom",3
TV Show,Family Guy,,,2021-09-27,1999,20 Seasons,"Adult Animation, Comedy, Sitcom",3
TV Show,Nuclear Family,,,2021-09-27,2021,1 Season,"Documentaries, LGBTQ+",2
TV Show,The Great North,,,2021-09-27,2021,2 Seasons,"Adult Animation, Comedy, Sitcom",3
TV Show,The Rookie,,,2021-09-27,2018,4 Seasons,"Crime, Drama",2
TV Show,The Simpsons,,,2021-09-27,1989,2 Seasons,"Adult Animation, Comedy, Sitcom",3
TV Show,BMF,,,2021-09-26,2021,1 Season,"Crime, Drama",2
TV Show,SEC Storied,,,2021-09-26,2011,1 Season,"Documentaries, Sports",2
Movie,Gemini,,,2021-09-25,2017,93 min,"Drama, Horror, Mystery",3
TV Show,Law & Order: Special Victims Unit,,,2021-09-24,1999,23 Seasons,"Crime, Drama, Mystery",3
TV Show,The Eric Andre Show,,,2021-09-24,2012,5 Seasons,Comedy,1
Movie,This World Alone,,,2021-09-24,2018,90 min,"Drama, Science Fiction",2
TV Show,Trolls: TrollsTopía,,,2021-09-24,2020,4 Seasons,"Kids, Latino",2
TV Show,Alter Ego,,,2021-09-23,2021,1 Season,"Music, Reality",2
TV Show,El Árbol Familiar de los Croods,,,2021-09-23,2021,1 Season,"Action, Adventure, Family",3
Movie,Funhouse,,,2021-09-23,2019,106 min,Horror,1
TV Show,Home Economics,,,2021-09-23,2021,2 Seasons,"Comedy, Sitcom",2
TV Show,The Conners,,,2021-09-23,2018,1 Season,"Comedy, Sitcom",2
TV Show,The Croods: Family Tree,,,2021-09-23,2021,1 Season,"Adventure, Family, Kids",3
TV Show,The Goldbergs,,,2021-09-23,2013,9 Seasons,"Comedy, Family, Sitcom",3
TV Show,The Masked Singer,,,2021-09-23,2019,6 Seasons,"Comedy, Music, Reality",3
TV Show,The Wonder Years,,,2021-09-23,2021,1 Season,"Comedy, Sitcom",2
TV Show,GMA3: What You Need to Know,,,2021-09-22,2020,1 Season,"Health & Wellness, News",2
TV Show,Dancing With the Stars,,,2021-09-21,2005,1 Season,"Family, Lifestyle & Culture, Reality",3
TV Show,Jimmy Kimmel Live,,,2021-09-21,2003,2 Seasons,"Comedy, Late Night",2
TV Show,Late Night With Seth Meyers,,,2021-09-21,2014,2 Seasons,"Comedy, Late Night",2
TV Show,The Tonight Show Starring Jimmy Fallon,,,2021-09-21,2014,2 Seasons,"Comedy, Late Night",2
TV Show,Will & Grace,,,2021-09-21,2017,3 Seasons,"Comedy, LGBTQ+, Sitcom",3
Movie,Grown Ups,,,2021-09-20,2010,97 min,Comedy,1
TV Show,Mom,,,2021-09-20,2013,8 Seasons,"Comedy, Sitcom",2
TV Show,To Tell the Truth,,,2021-09-20,2016,1 Season,"Comedy, Reality",2
TV Show,UFC Embedded,,,2021-09-20,2014,1 Season,"Documentaries, Sports",2
TV Show,America Strong,,,2021-09-18,2021,1 Season,News,1
TV Show,Dark Side of Football,,,2021-09-18,2021,1 Season,"Crime, Documentaries, Sports",3
Movie,Women's College Hockey,,,2021-09-18,2004,,Sports,1
TV Show,Madagascar: Algo Salvaje,,,2021-09-17,2020,4 Seasons,"Action, Adventure, Family",3
TV Show,Soul of a Nation Presents: Corazón de América -- Celebrating Hispanic Culture,,,2021-09-17,2021,1 Season,Documentaries,1
TV Show,Divorce Court,,,2021-09-16,1999,4 Seasons,Reality,1
Movie,On Chesil Beach,,,2021-09-16,2018,110 min,"Cooking & Food, Drama, Lifestyle & Culture",3
Movie,Riders of Justice,,,2021-09-16,2020,116 min,"Action, Comedy, Thriller",3
Movie,Stalker,,,2021-09-16,2020,86 min,"Horror, Thriller",2
Movie,All About Nina,,,2021-09-15,2018,101 min,"Comedy, Drama",2
TV Show,Chuck's World,,,2021-09-15,2017,1 Season,"Cooking & Food, Lifestyle & Culture",2
TV Show,Dark Side of the Ring,,,2021-09-15,2019,3 Seasons,"Documentaries, Drama, Sports",3
Movie,"Gilberto Santa Rosa, 40…y Contando",,,2021-09-15,2018,,"Documentaries, Latino, Music",3
Movie,Hitman: Agent 47,,,2021-09-15,2015,97 min,"Action, Adventure, Crime",3
Movie,Joseph: King of Dreams,,,2021-09-15,2000,75 min,"Drama, Kids",2
TV Show,Killer Cases,,,2021-09-15,2020,1 Season,Crime,1
TV Show,Level Playing Field,,,2021-09-15,2021,1 Season,Documentaries,1
Movie,Los Croods 2: Una Nueva Era,,,2021-09-15,2020,95 min,"Family, Latino",2
Movie,"Love, Simon",,,2021-09-15,2018,110 min,"Comedy, Drama, LGBTQ+",3
Movie,Maze Runner: The Death Cure,,,2021-09-15,2018,144 min,"Action, Adventure, Science Fiction",3
Movie,"Santana - Corazón: Live From Mexico, Live It to Believe It",,,2021-09-15,2014,,"Documentaries, International, Latino",3
Movie,Thalía 'Viva Tour' (En Vivo),,,2021-09-15,2014,,"Documentaries, International, Latino",3
Movie,The King Stays King,,,2021-09-15,2012,,"Documentaries, International, Latino",3
Movie,"Yandel: Legacy, De Lider a Leyenda Tour",,,2021-09-15,2015,,"Documentaries, International, Latino",3
TV Show,The Big Leap,,,2021-09-14,2021,1 Season,"Comedy, Drama",2
Movie,Colette,,,2021-09-13,2018,112 min,"Drama, History",2
Movie,John Bronco Rides Again,,,2021-09-13,2021,26 min,Comedy,1
TV Show,Y: The Last Man,,,2021-09-13,2021,1 Season,"Drama, Science Fiction",2
TV Show,Fruits Basket (2019),,,2021-09-11,2019,3 Seasons,"Anime, Comedy, Drama",3
Movie,High Ground,,,2021-09-11,2020,105 min,"Action, Adventure, Drama",3
Movie,Detainee 001,,,2021-09-10,2021,,Documentaries,1
TV Show,Holey Moley,,,2021-09-10,2019,1 Season,"Game Shows, Reality",2
TV Show,Project Bakeover,,,2021-09-10,2021,1 Season,"Cooking & Food, Lifestyle & Culture, Reality",3
TV Show,Salvage Kings,,,2021-09-10,2019,2 Seasons,Reality,1
Movie,Transporter 3,,,2021-09-10,2008,99 min,"Action, Adventure",2
TV Show,Worst to First,,,2021-09-10,2017,2 Seasons,"Lifestyle & Culture, Reality",2
TV Show,More Than An Athlete,,,2021-09-09,2019,2 Seasons,"Documentaries, Reality",2
TV Show,Our Time: UCF Football,,,2021-09-09,2021,1 Season,"Documentaries, Sports",2
Movie,Women of 9/11: A Special Edition of 20/20 With Robin Roberts,,,2021-09-09,2021,,News,1
Movie,La La Land,,,2021-09-08,2016,128 min,"Comedy, Drama, Music",3
TV Show,Wu-Tang: An American Saga,,,2021-09-08,2019,2 Seasons,"Black Stories, Drama",2
TV Show,9/11 20 Years Later: Women of Resilience,,,2021-09-07,2021,1 Season,News,1
Movie,9/11 Twenty Years Later: The Longest Shadow,,,2021-09-07,2021,,News,1
TV Show,Dish Nation,,,2021-09-07,2013,1 Season,Comedy,1
Movie,Logan,,,2021-09-07,2017,138 min,"Action, Drama, Science Fiction",3
Movie,SportsCenter,,,2021-09-07,1979,,Sports,1
Movie,Eyewitness to 9/11: Behind the Lens,,,2021-09-06,2021,,Documentaries,1
Movie,Men's College Water Polo,,,2021-09-04,1999,,Sports,1
Movie,Bolden,,,2021-09-03,2019,102 min,"Drama, History, Music",3
Movie,CMA Summer Jam,,,2021-09-03,2021,,Music,1
TV Show,The D'Amelio Show,,,2021-09-03,2021,1 Season,Documentaries,1
Movie,Undine,,,2021-09-03,2020,90 min,"Drama, Romance",2
Movie,About Endlessness,,,2021-09-02,2019,76 min,Drama,1
Movie,Death in Texas,,,2021-09-02,2020,101 min,"Action, Thriller",2
TV Show,Locked Up Abroad,,,2021-09-02,2007,2 Seasons,Documentaries,1
TV Show,Made By Her: Monumental Women,,,2021-09-02,2021,1 Season,Cartoons,1
TV Show,SMU Football: The Hilltop,,,2021-09-02,2021,1 Season,Sports,1
Movie,The Unthinkable,,,2021-09-02,2021,129 min,"Action, Thriller",2
Movie,Trolls: TrollsTopia,,,2021-09-02,2020,,"Family, Kids",2
Movie,Blue City,,,2021-09-01,1986,83 min,"Action, Adventure, Horror",3
Movie,Cold Creek Manor,,,2021-09-01,2003,119 min,"Drama, Thriller",2
Movie,Crazy Heart,,,2021-09-01,2009,112 min,"Drama, Music, Romance",3
Movie,Edward Scissorhands,,,2021-09-01,1990,101 min,"Comedy, Drama, Romance",3
Movie,El Dorado,,,2021-09-01,1967,126 min,"Action, Adventure",2
Movie,Election,,,2021-09-01,1999,103 min,Comedy,1
